City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Punta Arenas,CL,-53.15,-70.92,1594685099,90,80,35.6,8.05
Nieuw Amsterdam,SR,5.88,-55.08,1594685100,40,83,80.6,8.05
Bredasdorp,ZA,-34.53,20.04,1594685101,70,87,46.4,13.87
Cape Town,ZA,-33.93,18.42,1594685101,75,76,52.0,8.05
Barsovo,RU,61.17,73.17,1594685101,1,87,57.2,8.95
Severo-Kuril'sk,RU,50.68,156.12,1594685101,100,85,50.31,2.89
Warri,NG,5.52,5.75,1594685101,100,88,75.6,5.03
Jamestown,US,42.1,-79.24,1594685050,1,64,70.0,10.29
Bara,NG,10.37,10.73,1594685102,100,85,76.3,8.52
Ponta do Sol,PT,32.67,-17.1,1594685103,20,64,71.6,10.29
Shingū,JP,33.73,135.98,1594685103,75,100,77.0,11.41
Cidreira,BR,-30.18,-50.21,1594685103,59,70,51.35,10.8
Laguna,US,38.42,-121.42,1594685104,1,27,91.99,13.87
Cajamarca,PE,-7.16,-78.5,1594685104,39,80,52.38,1.95
Albany,US,42.6,-73.97,1594685104,8,56,81.0,6.49
Port Hardy,CA,50.7,-127.42,1594684942,20,63,64.4,12.75
Rikitea,PF,-23.12,-134.97,1594685105,53,85,73.17,12.1
Ambilobe,MG,-13.2,49.05,1594685105,62,79,65.23,3.27
Dikson,RU,73.51,80.55,1594685105,100,97,39.34,14.61
Puerto Ayora,EC,-0.74,-90.35,1594685106,47,92,68.0,1.01
Terra Rica,BR,-22.71,-52.62,1594685106,48,65,71.6,1.45
Richards Bay,ZA,-28.78,32.04,1594685106,0,36,59.97,7.99
Butaritari,KI,3.07,172.79,1594685106,85,74,81.03,1.19
Najrān,SA,17.49,44.13,1594685107,40,19,86.0,4.7
Van Buren,US,35.44,-94.35,1594685107,1,58,86.0,6.93
Hammerfest,NO,70.66,23.68,1594685107,11,81,46.4,11.41
Tupik,RU,54.43,119.93,1594685107,93,58,74.43,0.85
Ushuaia,AR,-54.8,-68.3,1594684861,40,86,33.8,18.34
Ca Mau,VN,9.18,105.15,1594684816,100,89,80.08,3.18
Rocha,UY,-34.48,-54.33,1594685108,0,74,37.89,9.66
Kavaratti,IN,10.57,72.64,1594685108,100,76,83.1,8.81
Akdepe,TM,42.06,59.38,1594685108,0,38,77.0,6.93
Bluff,NZ,-46.6,168.33,1594685109,90,83,39.0,3.0
Coquimbo,CL,-29.95,-71.34,1594685109,33,87,51.8,3.36
Vaini,TO,-21.2,-175.2,1594685109,40,73,75.2,10.29
Arraial do Cabo,BR,-22.97,-42.03,1594685110,0,72,73.36,2.59
Hermanus,ZA,-34.42,19.23,1594685110,99,75,48.99,8.01
Maumere,ID,-8.62,122.21,1594685111,9,68,79.81,6.71
Dongsheng,CN,39.82,109.98,1594685111,93,50,72.72,7.9
Havelock,US,34.88,-76.9,1594685111,75,88,73.99,3.36
Constitución,CL,-35.33,-72.42,1594685111,41,79,53.15,5.91
Bud,US,39.45,-86.18,1594685111,1,47,79.0,5.44
Tasiilaq,GL,65.61,-37.64,1594685112,91,81,42.8,5.82
Oussouye,SN,12.48,-16.55,1594685112,40,88,80.6,6.93
Puerto Escondido,MX,15.85,-97.07,1594685112,40,66,84.2,4.74
Pevek,RU,69.7,170.31,1594685112,80,74,42.15,0.63
Saint-Joseph,RE,-21.37,55.62,1594685113,20,68,68.0,8.05
Narsaq,GL,60.92,-46.05,1594685113,100,76,55.4,6.93
Tamiahua,MX,21.27,-97.45,1594685113,0,72,84.92,13.44
Clyde River,CA,70.47,-68.59,1594685113,75,58,55.4,8.05
Madingou,CG,-4.15,13.55,1594685114,51,78,71.55,3.09
Mataura,NZ,-46.19,168.86,1594685114,91,83,39.0,3.0
Grand Forks,US,47.93,-97.03,1594685114,75,78,78.8,11.41
Bathsheba,BB,13.22,-59.52,1594685114,40,74,82.4,14.99
Hohhot,CN,40.81,111.65,1594685115,67,77,66.2,4.47
Ust-Nera,RU,64.57,143.2,1594685115,98,59,73.08,8.5
Lázaro Cárdenas,MX,17.96,-102.2,1594685116,11,70,84.45,6.38
Hukuntsi,BW,-24.0,21.75,1594685116,0,54,41.07,4.97
Sainte-Marie,RE,-20.9,55.55,1594685116,44,68,71.6,11.41
George Town,MY,5.41,100.34,1594685116,20,94,78.8,1.57
Geneva,US,41.89,-88.31,1594685117,90,54,81.0,9.17
Khatanga,RU,71.97,102.5,1594685117,26,49,68.54,13.13
Busselton,AU,-33.65,115.33,1594685042,51,79,48.99,12.53
Almaznyy,RU,48.04,40.05,1594685118,40,100,68.0,8.95
